countyear,statefip,serialno,avgincomes,ginicoefficient,ginirank,incrank,knownincscount,knownincsavg,unknownincscount,unknownincsavg,blackpercent,whitepercent,otherpercent,blackcount,othercount,whitecount,totalcount,allareas,totalpop,populationdensity,violentcrime,propertycrime
1983,10,161,12719,57.19,37,10,1193,12523,365,13362,18,80,1,281,16,1261,1558,1954,605458,309,453,453
1983,11,162,13311,59.85,20,4,1121,13301,231,13362,69,28,1,941,21,390,1352,68,632433,9300,1915,1915
1983,12,163,11053,58.02,33,36,4440,10477,1108,13362,14,84,1,786,58,4704,5548,65758,10749851,163,827,827
1983,13,164,11495,59.86,19,27,2336,10938,698,13362,23,75,0,717,19,2298,3034,59441,5728250,96,457,457
1983,15,165,12114,54.30,48,18,1362,11680,474,13362,1,31,66,35,1215,586,1836,10932,1012717,92,252,252
1983,16,166,10918,58.70,27,43,1414,9933,570,13362,0,97,2,9,43,1932,1984,83574,981869,11,239,239
1983,17,167,12882,58.18,31,8,4433,12738,1338,13362,12,85,2,721,131,4919,5771,57918,11408818,196,728,728
1983,18,168,11176,57.66,35,35,2304,10490,724,13362,7,92,0,213,17,2798,3028,36420,5450395,149,284,284
1983,19,169,11183,58.30,28,34,1908,10605,507,13362,1,97,0,45,10,2360,2415,56276,2870543,51,181,181
1983,20,170,12022,54.39,47,19,1430,11617,433,13362,5,93,1,102,24,1737,1863,82282,2415531,29,327,327
1983,21,171,11000,61.36,11,38,1701,10258,535,13362,8,91,0,188,10,2038,2236,40411,3694484,91,322,322
1983,22,172,11103,65.58,2,37,1728,10286,625,13362,28,70,0,679,12,1662,2353,51843,4395316,84,641,641
1983,23,173,10833,54.86,46,42,1489,10041,467,13362,0,98,0,7,17,1932,1956,35387,1144772,32,160,160
1983,24,174,13555,60.55,15,3,2120,13608,571,13362,20,77,1,562,48,2081,2691,12407,4313327,347,807,807
1983,25,175,12260,55.77,42,13,2913,11962,790,13362,2,96,0,111,29,3563,3703,10555,5799407,549,577,577
1983,26,176,11716,61.29,12,25,3945,11180,1286,13362,10,88,1,542,74,4615,5231,96810,9047754,93,717,717
1983,27,177,11855,57.48,36,20,2149,11376,684,13362,0,97,1,19,50,2764,2833,86943,4141456,47,191,191
1983,28,178,10293,63.42,5,48,1643,9249,559,13362,32,66,0,723,4,1475,2202,48434,2567717,53,280,280
1983,29,179,11410,58.17,32,30,2267,10885,610,13362,9,90,0,271,15,2591,2877,69709,4943733,70,477,477
1983,30,180,10870,61.48,10,40,1617,10072,518,13362,0,91,7,4,167,1964,2135,147046,814031,5,213,213
1983,31,181,11513,55.51,43,29,1552,10907,509,13362,2,96,0,58,15,1988,2061,77358,1584293,20,218,218
1983,32,182,13093,52.14,51,6,1234,13010,386,13362,5,91,3,82,61,1477,1620,110567,901977,8,655,655
1983,33,183,11719,55.21,45,24,1179,11256,333,13362,0,99,0,1,6,1505,1512,9351,958134,102,125,125
1983,34,184,12239,60.23,16,14,3392,11937,915,13362,10,87,2,455,89,3763,4307,8722,7467785,856,553,553
1983,35,185,11076,64.73,3,39,1821,10255,655,13362,2,87,10,51,254,2171,2476,121593,1394361,11,687,687
1983,36,186,11465,61.66,9,28,7927,10922,2274,13362,13,83,2,1369,283,8549,10201,54475,17686905,324,914,914
1983,37,187,10578,60.82,14,44,2275,9767,663,13362,25,72,1,740,54,2144,2938,53821,6077056,112,410,410
1983,38,188,11544,60.94,13,26,1560,10987,479,13362,1,95,3,21,77,1941,2039,70704,676688,9,54,54
1983,39,189,12163,58.80,26,15,4487,11789,1401,13362,10,88,0,628,52,5208,5888,44828,10737632,239,398,398
1983,40,190,12065,59.56,23,17,1834,11685,539,13362,6,88,5,143,120,2110,2373,69903,3290402,47,423,423
1983,41,191,11768,57.02,39,21,1597,11344,425,13362,1,95,2,38,60,1924,2022,98386,2653066,26,488,488
1983,42,192,11192,59.68,22,31,5037,10653,1254,13362,8,90,1,545,64,5682,6291,46058,11837723,257,343,343
1983,44,193,11168,52.67,50,33,1197,10617,301,13362,1,97,0,28,8,1462,1498,1545,956382,619,355,355
1983,45,194,9938,60.19,17,51,1362,8744,475,13362,32,66,0,596,17,1224,1837,32007,3234066,101,617,617
1983,46,195,10395,58.20,29,47,1796,9389,609,13362,0,93,6,9,146,2250,2405,77121,693008,8,120,120
1983,47,196,10588,62.37,8,45,1819,9749,551,13362,18,80,1,427,27,1916,2370,42146,4659749,110,402,402
1983,48,197,11854,62.62,7,22,6583,11309,2382,13362,9,88,2,824,180,7961,8965,268601,15751676,58,512,512
1983,49,198,11559,59.97,18,32,1810,10637,927,13362,0,96,3,6,103,2628,2737,84904,1594943,18,256,256
1983,50,199,10829,53.92,49,41,1251,10050,385,13362,0,98,0,4,13,1619,1636,9615,523302,54,133,133
1983,51,200,13115,58.96,25,5,2312,13049,621,13362,19,78,1,579,46,2308,2933,42769,5564657,130,293,293
1983,53,201,12635,58.18,30,12,1782,12401,574,13362,3,92,3,77,88,2191,2356,71303,4300266,60,372,372
1983,54,202,9957,66.33,1,49,1512,8881,478,13362,2,97,0,54,1,1935,1990,24231,1945061,80,172,172
1983,55,203,12132,57.67,34,16,1959,11771,577,13362,4,94,0,109,25,2402,2536,65503,4721438,72,191,191
1983,56,204,12758,55.42,44,9,1187,12570,372,13362,0,97,1,10,30,1519,1559,97818,510345,5,237,237
